# coverage_map.tsv -- generated by walkthrough/kit/build_coverage_map.py
# DO NOT HAND-EDIT. Regenerate with: python3 walkthrough/kit/build_coverage_map.py > walkthrough/kit/coverage_map.tsv
# One row per plugin_EML_StatsGraphs/REGISTRY.tsv row (43 as of the 2026-09-01 compile). numerically_covered=yes means the name is one of the 17 procedures walkthrough/kit/matrix.tsv actually runs and compare.R diffs against an R oracle.
registry_name	kind	numerically_covered	covering_kit_cells	reason_if_not_covered
emlRunNormalityAnalysis	analysis	yes	c0462;c0463;c0464;c0465;c0466;c0467;c0468;c0469;c0470;c0471;c0472;c0473;c0474;c0475;c0476;c0477;c0478;c0479;c0480;c0481;c0482;c0483;c0484;c0485;c0486;c0487;c0488;c0489;c0490;c0491;c0492;c0493;c0494;c0495;c0496;c0497;c0498;c0499;c0500;c0502;c0503	
emlRunRepeatedMeasuresAnalysis	analysis	yes	c0520;c0521;c0522;c0523;c0524;c0525;c0526;c0527;c0528;c0529;c0530;c0531;c0532;c0533;c0534;c0535;c0536;c0537;c0538;c0539;c0560;c0562	
emlRunFriedmanAnalysis	analysis	yes	c0540;c0541;c0542;c0543;c0544;c0545;c0546;c0547;c0548;c0549;c0550;c0551;c0552;c0553;c0554;c0555;c0556;c0557;c0558;c0559;c0561;c0563	
emlDrawF0Contour	drawing	no		drawing procedure (F0 contour figure (EML Graphs type 1) for a Pitch object) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v67_axis_and_spectrum.R.
emlDrawWaveform	drawing	no		drawing procedure (Waveform figure (EML Graphs type 2) for a Sound object) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v96_line_style.R.
emlDrawSpectrum	drawing	no		drawing procedure (Spectrum figure (EML Graphs type 3) for a Spectrum object) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v62_graphs_axes_channels.R; v66_draw_layer.R; v67_axis_and_spectrum.R.
emlDrawLTAS	drawing	no		drawing procedure (Long-term average spectrum figure (EML Graphs type 4) for an Ltas object) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v66_draw_layer.R; v67_axis_and_spectrum.R.
emlDrawTimeSeries	drawing	no		drawing procedure (Line chart of a value over time, optionally grouped (EML Graphs type 5, no confidence band)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by run_all.R; v23_qq_points.R; v27_empty_frames.R; v29_figure_disclosure.R; v32_legend_geometry.R; v36_stress_output.R; v95_second_axis.R; v96_line_style.R; v97_line_tree.R.
emlDrawTimeSeriesCI	drawing	no		drawing procedure (Line chart of a value over time with a confidence band (EML Graphs type 5, "Show CI" on)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v27_empty_frames.R; v29_figure_disclosure.R; v97_line_tree.R.
emlDrawBarChart	drawing	no		drawing procedure (Bar chart of a value by group, with a chosen error-bar mode (EML Graphs type 6)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v23_qq_points.R; v27_empty_frames.R; v29_figure_disclosure.R; v36_stress_output.R.
emlDrawViolinPlot	drawing	no		drawing procedure (Violin plot of a value by group (EML Graphs type 7)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v155_public_registry.R; v27_empty_frames.R; v29_figure_disclosure.R; v33_exclusion_parity.R; v36_stress_output.R; v61_graphs_seams.R; v66_draw_layer.R; v67_axis_and_spectrum.R; v68_form_axis_and_display.R; v74_axis_consume_once.R.
emlDrawScatterPlot	drawing	no		drawing procedure (Scatter plot of two numeric columns, optionally grouped and annotated (EML Graphs type 8)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by run_all.R; v112_settings_census.R; v137_correlation_scope.R; v23_qq_points.R; v27_empty_frames.R; v29_figure_disclosure.R; v32_legend_geometry.R; v36_stress_output.R; v74_axis_consume_once.R.
emlDrawBoxPlot	drawing	no		drawing procedure (Box plot of a value by group (EML Graphs type 9)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v27_empty_frames.R; v29_figure_disclosure.R; v80_shipped_history.R.
emlDrawHistogram	drawing	no		drawing procedure (Histogram of one numeric column, optionally grouped (EML Graphs type 10)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v27_empty_frames.R; v29_figure_disclosure.R; v36_stress_output.R; v67_axis_and_spectrum.R.
emlDrawGroupedViolin	drawing	no		drawing procedure (Violin plot of a value by two nested categorical columns (EML Graphs type 11)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v27_empty_frames.R; v29_figure_disclosure.R; v75_legend_single_step.R.
emlDrawGroupedBoxPlot	drawing	no		drawing procedure (Box plot of a value by two nested categorical columns (EML Graphs type 12)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v27_empty_frames.R; v29_figure_disclosure.R.
emlDrawSpaghettiPlot	drawing	no		drawing procedure (Spaghetti plot of one subject-per-line series across repeated conditions (EML Graphs type 13)) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v07_redpath_degenerate_inputs.R; v127_door_agreement_census.R; v27_empty_frames.R; v29_figure_disclosure.R.
emlDrawQQPlot	drawing	no		drawing procedure (Normal Q-Q plot for one numeric vector; an adapter computing Blom quantiles onto the shared scatter machinery) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v134_error_read_lint.R; v155_public_registry.R; v159_settlement_gate.R; v23_qq_points.R; v94_page_composition.R.
emlRunAnnotationComparison	analysis	no		GAP, tracked: kind=analysis (runs the actual t-test/Mann-Whitney/ANOVA/Kruskal-Wallis behind a figure's annotation brackets -- 'the second path to the same statistics as the stats menu', its own REGISTRY.tsv description). It has zero matrix.tsv cells today because it currently carries its OWN duplicate implementation of those four tests rather than calling the Family A dispatch the kit's 200+96+67... cells already exercise. Per Ian's ruling (mailbox/to-opus/RULING_REGISTRY_VERDICTS_2026-09-01.md #4), unifying the bridge onto Family A is ordered before the authoritative run, after which 'the kit's canonical-route coverage picks up the unified path' -- not yet done, so today this row is genuinely uncovered, not correctly excluded.
emlReshapeSeriesLong	utility	no		utility procedure (Reshapes several wide measurement columns into the long (time, series, value) table the time-series drawing layer is drawn from) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v58_recorder_replay.R; v97_line_tree.R.
emlReshapeSeriesWide	utility	no		utility procedure (The mirror of emlReshapeSeriesLong — pivots a stacked (time, name, value) table into wide series columns for a two-axis time-series figure) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v97_line_tree.R.
emlCleanConvertedTable	utility	no		utility procedure (Replaces the "?" placeholders Praat's `To Table: "row"` writes for empty row/column labels, after a TableOfReal/Matrix -> Table auto-conversion done for drawing) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v159_settlement_gate.R; v62_graphs_axes_channels.R; v63_coercion_parity.R; v97_line_tree.R.
emlBeginPanel	utility	no		utility procedure (Opens a drawing panel at a page origin, erasing first if asked) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v115_settings_publication.R; v87_run_scoped_block.R; v94_page_composition.R.
emlInitializeDrawingDefaults	utility	no		utility procedure (Initializes every rendering global to its default; the precondition every emlDraw* orchestrator assumes) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v115_settings_publication.R; v29_figure_disclosure.R; v32_legend_geometry.R; v82_generated_barrel.R; v94_page_composition.R.
emlClearAnnotations	utility	no		utility procedure (Clears the figure-annotation state (brackets, text, matrix counters) before a draw) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v58_recorder_replay.R; v69_bracket_disclosure.R.
emlDrawAnnotations	drawing	no		drawing procedure (Draws the comparison brackets a figure's statistical annotation adds) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v155_public_registry.R; v58_recorder_replay.R; v69_bracket_disclosure.R.
emlDrawAnnotationBlock	drawing	no		drawing procedure (Draws the omnibus-test text block in a figure corner) -- renders a Praat Picture-window figure, not a scalar statistic. The kit (matrix.tsv/quantities.tsv; see walkthrough/kit/results/coverage.md) compares only the 17 procedures that return numbers, so a figure has nothing there to numerically diff against. Checked structurally instead by v155_public_registry.R; v29_figure_disclosure.R; v58_recorder_replay.R.
emlReportContext	utility	no		utility procedure (Sets the "from:" provenance line an analysis report prints) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v131_explanation_wiring.R; v58_recorder_replay.R.
emlRecordReplayName	utility	no		utility procedure (Renames the just-read object back to the name the recording session gave it) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. No validate/*.R file references it by name (UNMEASURED beyond this grep).
emlRecordReplaySave	utility	no		utility procedure (The non-interactive twin of the Save panel — writes a figure and/or results set under a fresh timestamp with no dialog) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v155_public_registry.R; v86_vector_figure_export.R.
emlRecordReplayRead	utility	no		utility procedure (Reopens the file a recording session read from, choosing the reader by file extension, with no file-chooser dialog) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. No validate/*.R file references it by name (UNMEASURED beyond this grep).
emlDemoTable	utility	no		utility procedure (Builds one of the plugin's seven synthetic voice-science demo Tables from a seed) -- internal plumbing/orchestration with no scalar statistical result of its own, so there is no R-computed number to compare it against. Checked structurally instead by v153_result_state.R.
