file	line	procedure_called	violation_kind	proposed_disposition	reason
eml-analysis.praat	3941	emlKurtosis	unchecked	FIX	"emlSkewness/emlKurtosis (stats/eml-core-descriptive.praat:294,328) reset .result=undefined on failure (n below minimum, or SD=0 -- a column of identical values, a normal real-data state, not an edge case) but callers use .result unconditionally. Concretely confirmed at stats/eml-analysis.praat:3939-3941/4001-4003: no `if emlKurtosis.error$=""""` guard on the printed string, and at :3734-3735 .kurtosis feeds `abs(.kurtosis) >= threshold` directly -- comparison against undefined is false in Praat, so an incalculable kurtosis is silently read as 'not severe,' feeding a real recommendation, not just a cosmetic display gap."
eml-analysis.praat	3951	emlShapiroWilk	used-before-check	SAFE	"Verified at stats/eml-analysis.praat:3997 (`if .swError$ = """"`): the raw Shapiro-Wilk W/p print is independently gated on the captured error string a few lines after the flagged field-read, and .swError$ is also passed into @emlNormalityRecommendation's own nested .swUsable gate (stats/eml-analysis.praat:3966-3968). A text-order scanner cannot see a check performed one procedure down or a few lines later in the same block; a direct read confirms it is real."
eml-analysis.praat	4199	emlAuditColumn	unchecked	SAFE	the column emlAuditColumn is called on has already passed an explicit `Get column index:` / .ci=0 existence check earlier in the SAME procedure (verified stats/eml-analysis.praat:4166-4170, inside emlExtractConditionMatrix, well before :4199). Note: this corrects Fable's 1 Sept report, which attributed the safety to the @eml_openColumn call immediately above :4199 -- eml_openColumn does NOT check column existence (verified stats/eml-extract.praat:1069-1085; it only classifies whether the column is numerically 'clean' for a fast-path read). The actual guard is the earlier Get-column-index check; the conclusion (SAFE) is the same, the mechanism cited for it was wrong.
eml-analysis.praat	4597	emlRMAnovaTest	used-before-check	SAFE	".degenerate is set in lockstep with .error$ in every branch of emlRMAnovaTest (verified stats/eml-analysis.praat:4451-4457: both flags are set together, never independently). Gating the recorder string on .degenerate=0 (:4600) is equivalent to gating on .error$=""""."
eml-analysis.praat	5166	emlBonferroni	unchecked	SAFE	emlBonferroni/emlHolm/emlBenjaminiHochberg (stats/eml-inferential.praat:3819,3888,3987) have exactly two failure paths: nInput=0 (structurally unreachable here -- every one of these 15 call sites is reached only after the caller has already built at least one pairwise p-value entry) or all-p-undefined, for which the producer itself fills .adjusted# with undefined at every index (verified eml-inferential.praat:3833-3836) -- identical to what a caller checking .error$ first would have produced by hand. Reading .error$ here is redundant, not omitted.
eml-analysis.praat	5169	emlBenjaminiHochberg	unchecked	SAFE	emlBonferroni/emlHolm/emlBenjaminiHochberg (stats/eml-inferential.praat:3819,3888,3987) have exactly two failure paths: nInput=0 (structurally unreachable here -- every one of these 15 call sites is reached only after the caller has already built at least one pairwise p-value entry) or all-p-undefined, for which the producer itself fills .adjusted# with undefined at every index (verified eml-inferential.praat:3833-3836) -- identical to what a caller checking .error$ first would have produced by hand. Reading .error$ here is redundant, not omitted.
eml-analysis.praat	5172	emlHolm	unchecked	SAFE	emlBonferroni/emlHolm/emlBenjaminiHochberg (stats/eml-inferential.praat:3819,3888,3987) have exactly two failure paths: nInput=0 (structurally unreachable here -- every one of these 15 call sites is reached only after the caller has already built at least one pairwise p-value entry) or all-p-undefined, for which the producer itself fills .adjusted# with undefined at every index (verified eml-inferential.praat:3833-3836) -- identical to what a caller checking .error$ first would have produced by hand. Reading .error$ here is redundant, not omitted.
eml-annotation-procedures.praat	4654	emlPearsonCorrelation	unchecked	FIX	emlPearsonCorrelation/eml_pearsonCore/emlSpearmanCorrelation all reset their numeric outputs to undefined before any guard (documented explicitly stats/eml-inferential.praat:808-814), but the caller at this site has no downstream display gate for it -- unlike the drift-bug site above, no .error$ read exists anywhere in scope.
eml-annotation-procedures.praat	4885	emlExtractGroupVectors	unchecked	FIX	emlReportBridgeStats's only failure mode read here is 'table is empty', reached only after @emlBridgeGroupComparison already computed statistics on the same table -- plausible-safe but the full path into emlBridgeGroupComparison was not traced in this pass. Not confirmed safe, so FIX.
eml-annotation-procedures.praat	5525	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	5667	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	5670	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	5720	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	5724	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	5801	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	5804	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	6150	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	6154	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	6211	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	6215	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	6283	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-annotation-procedures.praat	6286	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-anova-kernel.praat	474	emlLeveneTest	used-before-check	FIX	emlLeveneTest/emlShapiroWilk inside emlAnovaKernelTwoWay are deliberately not folded into the kernel's own .error$ (an assumption check failing does not fail the ANOVA itself) and are exposed as the kernel's own named outputs .leveneError$/.shapiroError$ (stats/eml-anova-kernel.praat:290-292). Whether the CALLER of emlAnovaKernelTwoWay reads those two fields before printing .leveneW/.shapiroW is one hop further than this pass traced -- not confirmed safe, so FIX (or at minimum a runtime check: run a two-way ANOVA on a fully balanced, zero-cell-variance design and read whether the Info window shows 'undefined' bare).
eml-anova-kernel.praat	489	emlShapiroWilk	used-before-check	FIX	emlLeveneTest/emlShapiroWilk inside emlAnovaKernelTwoWay are deliberately not folded into the kernel's own .error$ (an assumption check failing does not fail the ANOVA itself) and are exposed as the kernel's own named outputs .leveneError$/.shapiroError$ (stats/eml-anova-kernel.praat:290-292). Whether the CALLER of emlAnovaKernelTwoWay reads those two fields before printing .leveneW/.shapiroW is one hop further than this pass traced -- not confirmed safe, so FIX (or at minimum a runtime check: run a two-way ANOVA on a fully balanced, zero-cell-variance design and read whether the Info window shows 'undefined' bare).
eml-anova-kernel.praat	1611	emlBonferroni	unchecked	SAFE	emlBonferroni/emlHolm/emlBenjaminiHochberg (stats/eml-inferential.praat:3819,3888,3987) have exactly two failure paths: nInput=0 (structurally unreachable here -- every one of these 15 call sites is reached only after the caller has already built at least one pairwise p-value entry) or all-p-undefined, for which the producer itself fills .adjusted# with undefined at every index (verified eml-inferential.praat:3833-3836) -- identical to what a caller checking .error$ first would have produced by hand. Reading .error$ here is redundant, not omitted.
eml-anova-kernel.praat	1617	emlHolm	unchecked	SAFE	emlBonferroni/emlHolm/emlBenjaminiHochberg (stats/eml-inferential.praat:3819,3888,3987) have exactly two failure paths: nInput=0 (structurally unreachable here -- every one of these 15 call sites is reached only after the caller has already built at least one pairwise p-value entry) or all-p-undefined, for which the producer itself fills .adjusted# with undefined at every index (verified eml-inferential.praat:3833-3836) -- identical to what a caller checking .error$ first would have produced by hand. Reading .error$ here is redundant, not omitted.
eml-anova-kernel.praat	1621	emlBenjaminiHochberg	unchecked	SAFE	emlBonferroni/emlHolm/emlBenjaminiHochberg (stats/eml-inferential.praat:3819,3888,3987) have exactly two failure paths: nInput=0 (structurally unreachable here -- every one of these 15 call sites is reached only after the caller has already built at least one pairwise p-value entry) or all-p-undefined, for which the producer itself fills .adjusted# with undefined at every index (verified eml-inferential.praat:3833-3836) -- identical to what a caller checking .error$ first would have produced by hand. Reading .error$ here is redundant, not omitted.
eml-check-normality.praat	155	emlCountGroups	unchecked	FIX	Caller reads emlCountGroups.nGroups/.groupLabel$/.pgTotal but never emlCountGroups.error$; emlCountGroups sets .nGroups=0 on a missing/misspelled column and never changes it on that path (stats/eml-extract.praat:1734-1735), so a real failure is misreported as '0 groups' or 'Groups: 0, Analysed: 0' and the true reason (bad column name) is discarded. Concretely confirmed by Fable at graphs/eml-draw-procedures.praat:2927-2936 (a missing condition column prints 'Found 0' instead of the real error) and stats/eml-analysis.praat:3551-3585 (no fallback message at all).
eml-check-normality.praat	179	eml_getGroupData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-check-normality.praat	186	emlShapiroWilk	used-before-check	SAFE	"Verified at stats/eml-analysis.praat:3997 (`if .swError$ = """"`): the raw Shapiro-Wilk W/p print is independently gated on the captured error string a few lines after the flagged field-read, and .swError$ is also passed into @emlNormalityRecommendation's own nested .swUsable gate (stats/eml-analysis.praat:3966-3968). A text-order scanner cannot see a check performed one procedure down or a few lines later in the same block; a direct read confirms it is real."
eml-check-normality.praat	190	emlSkewness	unchecked	FIX	"emlSkewness/emlKurtosis (stats/eml-core-descriptive.praat:294,328) reset .result=undefined on failure (n below minimum, or SD=0 -- a column of identical values, a normal real-data state, not an edge case) but callers use .result unconditionally. Concretely confirmed at stats/eml-analysis.praat:3939-3941/4001-4003: no `if emlKurtosis.error$=""""` guard on the printed string, and at :3734-3735 .kurtosis feeds `abs(.kurtosis) >= threshold` directly -- comparison against undefined is false in Praat, so an incalculable kurtosis is silently read as 'not severe,' feeding a real recommendation, not just a cosmetic display gap."
eml-check-normality.praat	192	emlKurtosis	unchecked	FIX	"emlSkewness/emlKurtosis (stats/eml-core-descriptive.praat:294,328) reset .result=undefined on failure (n below minimum, or SD=0 -- a column of identical values, a normal real-data state, not an edge case) but callers use .result unconditionally. Concretely confirmed at stats/eml-analysis.praat:3939-3941/4001-4003: no `if emlKurtosis.error$=""""` guard on the printed string, and at :3734-3735 .kurtosis feeds `abs(.kurtosis) >= threshold` directly -- comparison against undefined is false in Praat, so an incalculable kurtosis is silently read as 'not severe,' feeding a real recommendation, not just a cosmetic display gap."
eml-check-normality.praat	520	emlDrawQQPlot	used-before-check	SAFE	"emlDrawQQPlot documents .drew as an .error$="""" equivalent (graphs/eml-draw-qq.praat:123), set to 1 only on the true success path (:390). Both call sites branch on .drew=0 to show .error$ and .drew=1 to show .n/.nDropped (verified scripts/eml-check-normality.praat:520-528), functionally identical to checking .error$ directly."
eml-core-descriptive.praat	645	emlSkewness	unchecked	FIX	"emlSkewness/emlKurtosis (stats/eml-core-descriptive.praat:294,328) reset .result=undefined on failure (n below minimum, or SD=0 -- a column of identical values, a normal real-data state, not an edge case) but callers use .result unconditionally. Concretely confirmed at stats/eml-analysis.praat:3939-3941/4001-4003: no `if emlKurtosis.error$=""""` guard on the printed string, and at :3734-3735 .kurtosis feeds `abs(.kurtosis) >= threshold` directly -- comparison against undefined is false in Praat, so an incalculable kurtosis is silently read as 'not severe,' feeding a real recommendation, not just a cosmetic display gap."
eml-core-descriptive.praat	647	emlKurtosis	unchecked	FIX	"emlSkewness/emlKurtosis (stats/eml-core-descriptive.praat:294,328) reset .result=undefined on failure (n below minimum, or SD=0 -- a column of identical values, a normal real-data state, not an edge case) but callers use .result unconditionally. Concretely confirmed at stats/eml-analysis.praat:3939-3941/4001-4003: no `if emlKurtosis.error$=""""` guard on the printed string, and at :3734-3735 .kurtosis feeds `abs(.kurtosis) >= threshold` directly -- comparison against undefined is false in Praat, so an incalculable kurtosis is silently read as 'not severe,' feeding a real recommendation, not just a cosmetic display gap."
eml-correlate.praat	268	emlCountGroups	unchecked	FIX	Caller reads emlCountGroups.nGroups/.groupLabel$/.pgTotal but never emlCountGroups.error$; emlCountGroups sets .nGroups=0 on a missing/misspelled column and never changes it on that path (stats/eml-extract.praat:1734-1735), so a real failure is misreported as '0 groups' or 'Groups: 0, Analysed: 0' and the true reason (bad column name) is discarded. Concretely confirmed by Fable at graphs/eml-draw-procedures.praat:2927-2936 (a missing condition column prints 'Found 0' instead of the real error) and stats/eml-analysis.praat:3551-3585 (no fallback message at all).
eml-correlate.praat	277	eml_getGroupPairedData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
eml-correlate.praat	372	eml_getGroupPairedData	unchecked	FIX	Caller reads .n/.data#/.groupN[]/.gN etc. but never eml_getGroupData(.Paired).error$; eml_getGroupData sets .n=0, .data#=zero#(0) on failure (stats/eml-extract.praat:1920-1946) but every one of these sites gates on the derived .n/.groupN instead. This is the core inferential engine -- TukeyHSD, OneWayAnova, KruskalWallis, DunnTest, PairwiseT, PairwiseWilcoxon, Scheffe, BrownForsythe, WelchAnova, GamesHowell in stats/eml-inferential.praat -- plus its group-extraction call sites in the annotation, correlate, check-normality and wizard scripts. One bad cell in one group's data column (a locale comma, a stray non-numeric value the upstream column-exists check does not catch) is silently relabelled 'Group X has 0 observations' with the real diagnosis thrown away, inside the core statistical engine, not a peripheral script.
