case	field	value
kw_dunn_bonferroni	hasMatrix	1
kw_dunn_bonferroni	statLabel	z
kw_dunn_bonferroni	pairEffectLabel	rank-biserial r
kw_dunn_bonferroni	pRows	3
kw_dunn_bonferroni	effRows	3
kw_dunn_bonferroni	label1	Zebra
kw_dunn_bonferroni	label2	Mid
kw_dunn_bonferroni	label3	Alpha
kw_dunn_bonferroni	p12	0.3499933943430702
kw_dunn_bonferroni	stat12	1.5689290811054724
kw_dunn_bonferroni	diff12	--undefined--
kw_dunn_bonferroni	eff12	1
kw_only	schema	eRS1
kw_only	run	7
kw_only	valid	1
kw_only	error	
kw_only	producer	emlRunKruskalWallisAnalysis
kw_only	door	menu
kw_only	kind	group
kw_only	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
kw_only	keyError	
kw_only	keyError	
kw_only	tableName	storefix
kw_only	dataCol	value
kw_only	groupCol	group
kw_only	testType	kruskal-wallis
kw_only	correction	
kw_only	alpha	0.05
kw_only	groupSort	table
kw_only	nGroups	3
kw_only	omnibusLabel	H
kw_only	omnibusStat	9.846153846153847
kw_only	df1	2
kw_only	df2	--undefined--
kw_only	omnibusP	0.007276706499332492
kw_only	effectLabel	epsilon squared
kw_only	effect	0.8951048951048951
kw_only	n	12
kw_only	secondLabel	
kw_only	secondStat	--undefined--
kw_only	secondDf1	--undefined--
kw_only	secondP	--undefined--
kw_only	secondEffectLabel	
kw_only	secondEffect	--undefined--
kw_only	postHoc	
kw_only	hasMatrix	1
kw_only	statLabel	
kw_only	pairEffectLabel	rank-biserial r
kw_only	pRows	3
kw_only	effRows	3
kw_only	label1	Zebra
kw_only	label2	Mid
kw_only	label3	Alpha
kw_only	p12	--undefined--
kw_only	stat12	--undefined--
kw_only	diff12	--undefined--
kw_only	eff12	1
pairwise_welch_holm	schema	eRS1
pairwise_welch_holm	run	8
pairwise_welch_holm	valid	1
pairwise_welch_holm	error	
pairwise_welch_holm	producer	emlRunPairwiseAnalysis
pairwise_welch_holm	door	menu
pairwise_welch_holm	kind	group
pairwise_welch_holm	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
pairwise_welch_holm	keyError	
pairwise_welch_holm	keyError	
pairwise_welch_holm	tableName	storefix
pairwise_welch_holm	dataCol	value
pairwise_welch_holm	groupCol	group
pairwise_welch_holm	testType	pairwise welch t
pairwise_welch_holm	correction	holm
pairwise_welch_holm	alpha	0.05
pairwise_welch_holm	groupSort	table
pairwise_welch_holm	nGroups	3
pairwise_welch_holm	omnibusLabel	
pairwise_welch_holm	omnibusStat	--undefined--
pairwise_welch_holm	df1	--undefined--
pairwise_welch_holm	df2	--undefined--
pairwise_welch_holm	omnibusP	--undefined--
pairwise_welch_holm	effectLabel	
pairwise_welch_holm	effect	--undefined--
pairwise_welch_holm	n	12
pairwise_welch_holm	secondLabel	
pairwise_welch_holm	secondStat	--undefined--
pairwise_welch_holm	secondDf1	--undefined--
pairwise_welch_holm	secondP	--undefined--
pairwise_welch_holm	secondEffectLabel	
pairwise_welch_holm	secondEffect	--undefined--
pairwise_welch_holm	postHoc	welch t
pairwise_welch_holm	hasMatrix	1
pairwise_welch_holm	statLabel	t
pairwise_welch_holm	pairEffectLabel	Cohen's d
pairwise_welch_holm	pRows	3
pairwise_welch_holm	effRows	3
pairwise_welch_holm	label1	Zebra
pairwise_welch_holm	label2	Mid
pairwise_welch_holm	label3	Alpha
pairwise_welch_holm	p12	0.0005248463973808677
pairwise_welch_holm	stat12	7.735737130957592
pairwise_welch_holm	diff12	--undefined--
pairwise_welch_holm	eff12	5.469992182776681
pairwise_wilcoxon_bh	schema	eRS1
pairwise_wilcoxon_bh	run	9
pairwise_wilcoxon_bh	valid	1
pairwise_wilcoxon_bh	error	
pairwise_wilcoxon_bh	producer	emlRunPairwiseAnalysis
pairwise_wilcoxon_bh	door	menu
pairwise_wilcoxon_bh	kind	group
pairwise_wilcoxon_bh	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
pairwise_wilcoxon_bh	keyError	
pairwise_wilcoxon_bh	keyError	
pairwise_wilcoxon_bh	tableName	storefix
pairwise_wilcoxon_bh	dataCol	value
pairwise_wilcoxon_bh	groupCol	group
pairwise_wilcoxon_bh	testType	pairwise wilcoxon
pairwise_wilcoxon_bh	correction	bh
pairwise_wilcoxon_bh	alpha	0.05
pairwise_wilcoxon_bh	groupSort	table
pairwise_wilcoxon_bh	nGroups	3
pairwise_wilcoxon_bh	omnibusLabel	
pairwise_wilcoxon_bh	omnibusStat	--undefined--
pairwise_wilcoxon_bh	df1	--undefined--
pairwise_wilcoxon_bh	df2	--undefined--
pairwise_wilcoxon_bh	omnibusP	--undefined--
pairwise_wilcoxon_bh	effectLabel	
pairwise_wilcoxon_bh	effect	--undefined--
pairwise_wilcoxon_bh	n	12
pairwise_wilcoxon_bh	secondLabel	
pairwise_wilcoxon_bh	secondStat	--undefined--
pairwise_wilcoxon_bh	secondDf1	--undefined--
pairwise_wilcoxon_bh	secondP	--undefined--
pairwise_wilcoxon_bh	secondEffectLabel	
pairwise_wilcoxon_bh	secondEffect	--undefined--
pairwise_wilcoxon_bh	postHoc	wilcoxon
pairwise_wilcoxon_bh	hasMatrix	1
pairwise_wilcoxon_bh	statLabel	U
pairwise_wilcoxon_bh	pairEffectLabel	rank-biserial r
pairwise_wilcoxon_bh	pRows	3
pairwise_wilcoxon_bh	effRows	3
pairwise_wilcoxon_bh	label1	Zebra
pairwise_wilcoxon_bh	label2	Mid
pairwise_wilcoxon_bh	label3	Alpha
pairwise_wilcoxon_bh	p12	0.02857142857142857
pairwise_wilcoxon_bh	stat12	16
pairwise_wilcoxon_bh	diff12	--undefined--
pairwise_wilcoxon_bh	eff12	1
pairwise_scheffe	schema	eRS1
pairwise_scheffe	run	10
pairwise_scheffe	valid	1
pairwise_scheffe	error	
pairwise_scheffe	producer	emlRunPairwiseAnalysis
pairwise_scheffe	door	menu
pairwise_scheffe	kind	group
pairwise_scheffe	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
pairwise_scheffe	keyError	
pairwise_scheffe	keyError	
pairwise_scheffe	tableName	storefix
pairwise_scheffe	dataCol	value
pairwise_scheffe	groupCol	group
pairwise_scheffe	testType	scheffe
pairwise_scheffe	correction	
pairwise_scheffe	alpha	0.05
pairwise_scheffe	groupSort	table
pairwise_scheffe	nGroups	3
pairwise_scheffe	omnibusLabel	
pairwise_scheffe	omnibusStat	--undefined--
pairwise_scheffe	df1	--undefined--
pairwise_scheffe	df2	--undefined--
pairwise_scheffe	omnibusP	--undefined--
pairwise_scheffe	effectLabel	
pairwise_scheffe	effect	--undefined--
pairwise_scheffe	n	12
pairwise_scheffe	secondLabel	
pairwise_scheffe	secondStat	--undefined--
pairwise_scheffe	secondDf1	--undefined--
pairwise_scheffe	secondP	--undefined--
pairwise_scheffe	secondEffectLabel	
pairwise_scheffe	secondEffect	--undefined--
pairwise_scheffe	postHoc	scheffe
pairwise_scheffe	hasMatrix	1
pairwise_scheffe	statLabel	F
pairwise_scheffe	pairEffectLabel	
pairwise_scheffe	pRows	3
pairwise_scheffe	effRows	3
pairwise_scheffe	label1	Zebra
pairwise_scheffe	label2	Mid
pairwise_scheffe	label3	Alpha
pairwise_scheffe	p12	0.0001424755769488243
pairwise_scheffe	stat12	27.706005586592173
pairwise_scheffe	diff12	2.875
pairwise_scheffe	eff12	--undefined--
anova_tukey_alphabetical	schema	eRS1
anova_tukey_alphabetical	run	11
anova_tukey_alphabetical	valid	1
anova_tukey_alphabetical	error	
anova_tukey_alphabetical	producer	emlRunAnovaAnalysis
anova_tukey_alphabetical	door	menu
anova_tukey_alphabetical	kind	group
anova_tukey_alphabetical	key	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
anova_tukey_alphabetical	keyError	
anova_tukey_alphabetical	keyError	
anova_tukey_alphabetical	tableName	storefix
anova_tukey_alphabetical	dataCol	value
anova_tukey_alphabetical	groupCol	group
anova_tukey_alphabetical	testType	one-way anova + tukey
anova_tukey_alphabetical	correction	
anova_tukey_alphabetical	alpha	0.05
anova_tukey_alphabetical	groupSort	alphabetical
anova_tukey_alphabetical	nGroups	3
anova_tukey_alphabetical	omnibusLabel	F
anova_tukey_alphabetical	omnibusStat	109.86312849162015
anova_tukey_alphabetical	df1	2
anova_tukey_alphabetical	df2	9
anova_tukey_alphabetical	omnibusP	4.7552043945244235e-07
anova_tukey_alphabetical	effectLabel	eta squared
anova_tukey_alphabetical	effect	0.9606516535586928
anova_tukey_alphabetical	n	12
anova_tukey_alphabetical	secondLabel	
anova_tukey_alphabetical	secondStat	--undefined--
anova_tukey_alphabetical	secondDf1	--undefined--
anova_tukey_alphabetical	secondP	--undefined--
anova_tukey_alphabetical	secondEffectLabel	
anova_tukey_alphabetical	secondEffect	--undefined--
anova_tukey_alphabetical	postHoc	tukey
anova_tukey_alphabetical	hasMatrix	1
anova_tukey_alphabetical	statLabel	q
anova_tukey_alphabetical	pairEffectLabel	Cohen's d
anova_tukey_alphabetical	pRows	3
anova_tukey_alphabetical	effRows	3
anova_tukey_alphabetical	label1	Alpha
anova_tukey_alphabetical	label2	Mid
anova_tukey_alphabetical	label3	Zebra
anova_tukey_alphabetical	p12	0.00011113096272041822
anova_tukey_alphabetical	stat12	10.435757180624746
anova_tukey_alphabetical	diff12	-2.8500000000000005
anova_tukey_alphabetical	eff12	-4.992833739150852
refusal_missing_group_column	schema	eRS1
refusal_missing_group_column	run	12
refusal_missing_group_column	valid	0
refusal_missing_group_column	error	Column not found: no_such_column
refusal_missing_group_column	producer	emlRunAnovaAnalysis
refusal_missing_group_column	door	menu
refusal_missing_group_column	kind	group
refusal_missing_group_column	key	
refusal_missing_group_column	keyError	
refusal_missing_group_column	keyError	
refusal_missing_group_column	tableName	storefix
refusal_missing_group_column	dataCol	value
refusal_missing_group_column	groupCol	no_such_column
refusal_missing_group_column	testType	
refusal_missing_group_column	correction	
refusal_missing_group_column	alpha	0.05
refusal_missing_group_column	groupSort	table
refusal_missing_group_column	nGroups	0
refusal_missing_group_column	omnibusLabel	
refusal_missing_group_column	omnibusStat	--undefined--
refusal_missing_group_column	df1	--undefined--
refusal_missing_group_column	df2	--undefined--
refusal_missing_group_column	omnibusP	--undefined--
refusal_missing_group_column	effectLabel	
refusal_missing_group_column	effect	--undefined--
refusal_missing_group_column	n	--undefined--
refusal_missing_group_column	secondLabel	
refusal_missing_group_column	secondStat	--undefined--
refusal_missing_group_column	secondDf1	--undefined--
refusal_missing_group_column	secondP	--undefined--
refusal_missing_group_column	secondEffectLabel	
refusal_missing_group_column	secondEffect	--undefined--
refusal_missing_group_column	postHoc	
refusal_missing_group_column	hasMatrix	0
refusal_missing_group_column	statLabel	
refusal_missing_group_column	pairEffectLabel	
refusal_missing_group_column	pRows	1
refusal_missing_group_column	effRows	1
refusal_missing_data_column	schema	eRS1
refusal_missing_data_column	run	13
refusal_missing_data_column	valid	0
refusal_missing_data_column	error	Column not found: no_such_data
refusal_missing_data_column	producer	emlRunAnovaAnalysis
refusal_missing_data_column	door	menu
refusal_missing_data_column	kind	group
refusal_missing_data_column	key	
refusal_missing_data_column	keyError	
refusal_missing_data_column	keyError	
refusal_missing_data_column	tableName	storefix
refusal_missing_data_column	dataCol	no_such_data
refusal_missing_data_column	groupCol	group
refusal_missing_data_column	testType	
refusal_missing_data_column	correction	
refusal_missing_data_column	alpha	0.05
refusal_missing_data_column	groupSort	table
refusal_missing_data_column	nGroups	0
refusal_missing_data_column	omnibusLabel	
refusal_missing_data_column	omnibusStat	--undefined--
refusal_missing_data_column	df1	--undefined--
refusal_missing_data_column	df2	--undefined--
refusal_missing_data_column	omnibusP	--undefined--
refusal_missing_data_column	effectLabel	
refusal_missing_data_column	effect	--undefined--
refusal_missing_data_column	n	--undefined--
refusal_missing_data_column	secondLabel	
refusal_missing_data_column	secondStat	--undefined--
refusal_missing_data_column	secondDf1	--undefined--
refusal_missing_data_column	secondP	--undefined--
refusal_missing_data_column	secondEffectLabel	
refusal_missing_data_column	secondEffect	--undefined--
refusal_missing_data_column	postHoc	
refusal_missing_data_column	hasMatrix	0
refusal_missing_data_column	statLabel	
refusal_missing_data_column	pairEffectLabel	
refusal_missing_data_column	pRows	1
refusal_missing_data_column	effRows	1
twogroup_after_threegroup	schema	eRS1
twogroup_after_threegroup	run	15
twogroup_after_threegroup	valid	1
twogroup_after_threegroup	error	
twogroup_after_threegroup	producer	emlRunTwoGroupAnalysis
twogroup_after_threegroup	door	menu
twogroup_after_threegroup	kind	group
twogroup_after_threegroup	key	eTF2|r=8|c=2|n=104|s=2|d=110514793_850378032_1753824234
twogroup_after_threegroup	keyError	
twogroup_after_threegroup	keyError	
twogroup_after_threegroup	tableName	storefix2
twogroup_after_threegroup	dataCol	value
twogroup_after_threegroup	groupCol	group
twogroup_after_threegroup	testType	welch t
twogroup_after_threegroup	correction	
twogroup_after_threegroup	alpha	0.05
twogroup_after_threegroup	groupSort	table
twogroup_after_threegroup	nGroups	2
twogroup_after_threegroup	omnibusLabel	t
twogroup_after_threegroup	omnibusStat	14.959547159225911
twogroup_after_threegroup	df1	5.832865826071561
twogroup_after_threegroup	df2	--undefined--
twogroup_after_threegroup	omnibusP	7.120922348040318e-06
twogroup_after_threegroup	effectLabel	Cohen's d
twogroup_after_threegroup	effect	10.577997239768594
twogroup_after_threegroup	n	8
twogroup_after_threegroup	secondLabel	
twogroup_after_threegroup	secondStat	--undefined--
twogroup_after_threegroup	secondDf1	--undefined--
twogroup_after_threegroup	secondP	--undefined--
twogroup_after_threegroup	secondEffectLabel	
twogroup_after_threegroup	secondEffect	--undefined--
twogroup_after_threegroup	postHoc	
twogroup_after_threegroup	hasMatrix	0
twogroup_after_threegroup	statLabel	
twogroup_after_threegroup	pairEffectLabel	
twogroup_after_threegroup	pRows	1
twogroup_after_threegroup	effRows	1
twogroup_after_threegroup	label1	Zebra
twogroup_after_threegroup	label2	Alpha
twogroup_after_threegroup	label3_after	
edit_one_cell	keyBefore	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
edit_one_cell	keyAfter	eTF2|r=12|c=2|n=126|s=2|d=629782507_1755612499_1420835863
edit_one_cell	keysAgree	0
relabel_group_cell	keyBefore	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
relabel_group_cell	keyAfter	eTF2|r=12|c=2|n=130|s=2|d=37358557_201828392_733304608
relabel_group_cell	keysAgree	0
swap_value_between_groups	keyBefore	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
swap_value_between_groups	keyAfter	eTF2|r=12|c=2|n=126|s=2|d=1601032299_366735860_1777957766
swap_value_between_groups	keysAgree	0
reorder_rows	keyBefore	eTF2|r=12|c=2|n=126|s=2|d=809119209_355023251_1475169559
reorder_rows	keyAfter	eTF2|r=12|c=2|n=126|s=2|d=1655027808_1004545667_1039134188
reorder_rows	keysAgree	0
