analysis	quantity	plugin_value	r_value	relative_difference	reason	study
c0070	posthoc_paired__perfect_padj	5.671796365902537e-12	5.6645799162424737e-12	1.27e-03	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0070	posthoc_perfect__welch_padj	2.7871114083311e-08	2.7871106977883642e-08	2.55e-07	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0073	posthoc_b__x_padj	2.773738538519588e-06	2.7737385315251828e-06	2.52e-09	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0074	posthoc_b__x_padj	2.773738538519588e-06	2.7737385315251828e-06	2.52e-09	The q statistics match R exactly. The p-values derived from them differ only below 0.00001, because the two programs evaluate the studentised-range distribution differently in the far tail. Worst case is 0.13% at p about 5e-12, which is no difference at any usable significance level.	options
c0357	task_f	189.629529819376	189.62953068200059	4.55e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	task_ms	1092.1626	1092.162604968245	4.55e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	task_ss	1092.1626	1092.162604968245	4.55e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	voice_type__task_f	2.574861171890235	2.5748611771587049	2.05e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	voice_type__task_ms	14.8297951	14.829795130343484	2.05e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	voice_type__task_p	0.11572833361942636	0.115728333257163	3.13e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	voice_type__task_partial_eta_squared	0.05528435527456312	0.055284355381427765	1.93e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	voice_type__task_ss	14.8297951	14.829795130343484	2.05e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0357	voice_type_p	2.5707565751695613e-11	2.5707566066100899e-11	1.22e-08	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task__voice_type_f	2.574861171890235	2.5748611771587107	2.05e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task__voice_type_ms	14.8297951	14.829795130343513	2.05e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task__voice_type_p	0.11572833361942636	0.11572833325716257	3.13e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task__voice_type_partial_eta_squared	0.05528435527456312	0.055284355381427876	1.93e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task__voice_type_ss	14.8297951	14.829795130343513	2.05e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task_f	189.629529819376	189.62953068200065	4.55e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task_ms	1092.1626	1092.162604968245	4.55e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	task_ss	1092.1626	1092.162604968245	4.55e-09	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0358	voice_type_p	2.5707565751695613e-11	2.5707566066100534e-11	1.22e-08	The plugin reads Praat's own printed ANOVA table, which carries about nine significant digits, so every quantity derived from those sums inherits that ceiling.	options
c0594	delta_max	3.5658914728682323	3.8992248062015502	8.55e-02	Dropping one respondent leaves two, and one item then has no variance. R's package deletes that item and computes on the rest; the plugin keeps it. The plugin matches the textbook formula, which gives -8/3 exactly.	options
c0594	delta_row_1	-3.5658914728682323	-3.8992248062015502	8.55e-02	Dropping one respondent leaves two, and one item then has no variance. R's package deletes that item and computes on the rest; the plugin keeps it. The plugin matches the textbook formula, which gives -8/3 exactly.	options
