"stat","value","tol"
"influence_influence_n3_deltaMax",3.56589147286822,1e-10
"influence_influence_n3_deltaMaxRow",1,0
"chisq_2x2_balanced_c1_stat",4.725,1e-10
"chisq_2x2_balanced_c1_df",1,0
"chisq_2x2_balanced_c1_p",0.0297271833060546,1e-10
"chisq_2x2_balanced_c0_stat",5.83333333333333,1e-10
"chisq_2x2_balanced_c0_df",1,0
"chisq_2x2_balanced_c0_p",0.0157252997545054,1e-10
"chisq_2x2_balanced_cramersV",0.288675134594813,1e-10
"chisq_2x2_balanced_minExpected",15,1e-10
"chisq_2x2_balanced_nBelow5",0,0
"chisq_2x2_sparse_c1_stat",0.416666666666667,1e-10
"chisq_2x2_sparse_c1_df",1,0
"chisq_2x2_sparse_c1_p",0.518605016428726,1e-10
"chisq_2x2_sparse_c0_stat",1.66666666666667,1e-10
"chisq_2x2_sparse_c0_df",1,0
"chisq_2x2_sparse_c0_p",0.196705602458947,1e-10
"chisq_2x2_sparse_cramersV",0.408248290463863,1e-10
"chisq_2x2_sparse_minExpected",2,1e-10
"chisq_2x2_sparse_nBelow5",4,0
"chisq_3x4_c1_stat",10.6870232798347,1e-10
"chisq_3x4_c1_df",6,0
"chisq_3x4_c1_p",0.09854452836138,1e-10
"chisq_3x4_c0_stat",10.6870232798347,1e-10
"chisq_3x4_c0_df",6,0
"chisq_3x4_c0_p",0.09854452836138,1e-10
"chisq_3x4_cramersV",0.211019581238278,1e-10
"chisq_3x4_minExpected",9.33333333333333,1e-10
"chisq_3x4_nBelow5",0,0
"chisq_zerocell_c1_stat",6.9180608974359,1e-10
"chisq_zerocell_c1_df",1,0
"chisq_zerocell_c1_p",0.00853294543525473,1e-10
"chisq_zerocell_c0_stat",9.43589743589744,1e-10
"chisq_zerocell_c0_df",1,0
"chisq_zerocell_c0_p",0.00212778941494691,1e-10
"chisq_zerocell_cramersV",0.640512615220349,1e-10
"chisq_zerocell_minExpected",3.47826086956522,1e-10
"chisq_zerocell_nBelow5",2,0
"wilson_central_lo",0.299298008198212,1e-10
"wilson_central_hi",0.700701991801788,1e-10
"wilson_near_zero_lo",0.00353925927164623,1e-10
"wilson_near_zero_hi",0.104954435896378,1e-10
"wilson_near_one_lo",0.895045564103622,1e-10
"wilson_near_one_hi",0.996460740728354,1e-10
"wilson_n_small_lo",0.230724281276013,1e-10
"wilson_n_small_hi",0.882379225767352,1e-10
"wilson_n_large_lo",0.670876139082783,1e-10
"wilson_n_large_hi",0.727593157522995,1e-10
"wilson_x_zero_lo",0,1e-10
"wilson_x_zero_hi",0.277532799862889,1e-10
"wilson_x_equals_n_lo",0.722467200137111,1e-10
"wilson_x_equals_n_hi",1,1e-10
"wilson_x_zero_conf99_lo",0,1e-10
"wilson_x_zero_conf99_hi",0.570258321027009,1e-10
"wilson_x_n_conf90_lo",0.648883499234899,1e-10
"wilson_x_n_conf90_hi",1,1e-10
"declared_Confidence_alpha",0.899761336515513,1e-10
"declared_Confidence_feldt_lo",0.810704560848255,1e-08
"declared_Confidence_feldt_hi",0.952992696002139,1e-08
"declared_Confidence_n",23,0
"declared_Confidence_nExcluded",1,0
"declared_Confidence_drop_Q1",0.865025906735751,1e-10
"declared_Confidence_itemrest_Q1",0.791461975993255,1e-10
"declared_Confidence_itemtotal_Q1",0.885944218521081,1e-10
"declared_Confidence_drop_Q2",0.88198900091659,1e-10
"declared_Confidence_itemrest_Q2",0.758243401103461,1e-10
"declared_Confidence_itemtotal_Q2",0.850470866122632,1e-10
"declared_Confidence_drop_Q3",0.87125748502994,1e-10
"declared_Confidence_itemrest_Q3",0.779306578437156,1e-10
"declared_Confidence_itemtotal_Q3",0.885888530145345,1e-10
"declared_Confidence_drop_Q4",0.86260162601626,1e-10
"declared_Confidence_itemrest_Q4",0.799197493676228,1e-10
"declared_Confidence_itemtotal_Q4",0.895066061604829,1e-10
"declared_Confidence_scoredN",23,0
"declared_Confidence_scoredNone",1,0
"declared_Confidence_scoreMean",3.09782608695652,1e-10
"declared_Confidence_scoreSD",0.909979802581749,1e-10
"declared_Confidence_scoreMin",1,1e-10
"declared_Confidence_scoreMax",4.25,1e-10
"declared_Confidence_unrev_alpha",-0.177408177408177,1e-10
"declared_Confidence_unrev_feldt_lo",-1.22347336103328,1e-08
"declared_Confidence_unrev_feldt_hi",0.447849939324474,1e-08
"declared_Anxiety_alpha",0.875679683638161,1e-10
"declared_Anxiety_feldt_lo",0.751282195517658,1e-08
"declared_Anxiety_feldt_hi",0.943290685065159,1e-08
"declared_Anxiety_n",23,0
"declared_Anxiety_nExcluded",1,0
"declared_Anxiety_drop_Q5",0.804503582395087,1e-10
"declared_Anxiety_itemrest_Q5",0.784764026806348,1e-10
"declared_Anxiety_itemtotal_Q5",0.902484603171846,1e-10
"declared_Anxiety_drop_Q6",0.832263978001833,1e-10
"declared_Anxiety_itemrest_Q6",0.768626067771777,1e-10
"declared_Anxiety_itemtotal_Q6",0.882786325213519,1e-10
"declared_Anxiety_drop_Q7",0.838143036386449,1e-10
"declared_Anxiety_itemrest_Q7",0.770556785151464,1e-10
"declared_Anxiety_itemtotal_Q7",0.916489502085534,1e-10
"declared_Anxiety_scoredN",23,0
"declared_Anxiety_scoredNone",1,0
"declared_Anxiety_scoreMean",2.92753623188406,1e-10
"declared_Anxiety_scoreSD",0.942576105434819,1e-10
"declared_Anxiety_scoreMin",1,1e-10
"declared_Anxiety_scoreMax",4.66666666666667,1e-10
"declared_Anxiety_unrev_alpha",-0.719683655536028,1e-10
"declared_Anxiety_unrev_feldt_lo",-2.44043480362618,1e-08
"declared_Anxiety_unrev_feldt_hi",0.215557964586819,1e-08
"declared_Knowledge_alpha",0.664928292046936,1e-10
"declared_Knowledge_feldt_lo",0.339538282361917,1e-08
"declared_Knowledge_feldt_hi",0.844229379798782,1e-08
"declared_Knowledge_n",24,0
"declared_Knowledge_nExcluded",0,0
"declared_Knowledge_drop_B1",0.505263157894737,1e-10
"declared_Knowledge_itemrest_B1",0.523359381616586,1e-10
"declared_Knowledge_itemtotal_B1",0.800166146439992,1e-10
"declared_Knowledge_drop_B2",0.756043956043956,1e-10
"declared_Knowledge_itemrest_B2",0.328165061656947,1e-10
"declared_Knowledge_itemtotal_B2",0.686050237440413,1e-10
"declared_Knowledge_drop_B3",0.401114206128134,1e-10
"declared_Knowledge_itemrest_B3",0.597714176150166,1e-10
"declared_Knowledge_itemtotal_B3",0.836158989124711,1e-10
"declared_Knowledge_scoredN",24,0
"declared_Knowledge_scoredNone",0,0
"declared_Knowledge_scoreMean",0.486111111111111,1e-10
"declared_Knowledge_scoreSD",0.392922490748379,1e-10
"declared_Knowledge_scoreMin",0,1e-10
"declared_Knowledge_scoreMax",1,1e-10
"kr20_Knowledge_alpha",0.664928292046936,1e-10
"kr20_Knowledge_feldt_lo",0.339538282361917,1e-08
"kr20_Knowledge_feldt_hi",0.844229379798782,1e-08
"kr20_Knowledge_n",24,0
"kr20_Knowledge_nExcluded",0,0
"declared_Knowledge_unrev_alpha",0.664928292046936,1e-10
"declared_Knowledge_unrev_feldt_lo",0.339538282361917,1e-08
"declared_Knowledge_unrev_feldt_hi",0.844229379798782,1e-08
"declared_Ease_alpha",0.941046277527792,1e-10
"declared_Ease_feldt_lo",0.882055959569215,1e-08
"declared_Ease_feldt_hi",0.973107973723884,1e-08
"declared_Ease_n",23,0
"declared_Ease_nExcluded",1,0
"declared_Ease_drop_R1",0.884284743758054,1e-10
"declared_Ease_itemrest_R1",0.925886690836502,1e-10
"declared_Ease_itemtotal_R1",0.965035894034733,1e-10
"declared_Ease_drop_R2",0.977865962055935,1e-10
"declared_Ease_itemrest_R2",0.818266530203466,1e-10
"declared_Ease_itemtotal_R2",0.927754971867684,1e-10
"declared_Ease_drop_R3",0.887447138621213,1e-10
"declared_Ease_itemrest_R3",0.915980794311447,1e-10
"declared_Ease_itemtotal_R3",0.961441849455047,1e-10
"declared_Ease_scoredN",23,0
"declared_Ease_scoredNone",1,0
"declared_Ease_scoreMean",48.4710144927536,1e-10
"declared_Ease_scoreSD",18.0578400230415,1e-10
"declared_Ease_scoreMin",8.13333333333333,1e-10
"declared_Ease_scoreMax",80.9666666666667,1e-10
"declared_Ease_offset_alpha",0.941046277508085,1e-10
"declared_Ease_unrev_alpha",-1.94601694190481,1e-10
"declared_Ease_unrev_feldt_lo",-4.89386262198462,1e-08
"declared_Ease_unrev_feldt_hi",-0.343839908479671,1e-08
