subject,voice_type,task,SPL_dB,.fitted,.resid,.std.resid,.hat
Soprano_11,Soprano,Singing,98.79027404505126,101.43131358077812,-2.6410395357268612,-1.0958333152015662,0.08333333333333333
Soprano_12,Soprano,Singing,98.49255771893752,101.43131358077812,-2.9387558618406047,-1.2193632602181088,0.08333333333333333
Alto_1,Alto,Speech,85.47922130878901,84.26163156920093,1.2175897395880781,0.5052084161704906,0.08333333333333333
Alto_2,Alto,Speech,82.8341521611561,84.26163156920093,-1.4274794080448316,-0.5922968857295882,0.08333333333333333
Alto_3,Alto,Speech,84.19187790450616,84.26163156920093,-0.06975366469477251,-0.028942538949495052,0.08333333333333333
Alto_4,Alto,Speech,84.88608821357775,84.26163156920093,0.6244566443768207,0.25910266982003555,0.08333333333333333
Alto_5,Alto,Speech,84.33511486445342,84.26163156920093,0.07348329525248687,0.030490055888658312,0.08333333333333333
Alto_6,Alto,Speech,84.33035905408113,84.26163156920093,0.06872748488019909,0.028516751295435024,0.08333333333333333
Alto_7,Alto,Speech,84.01201307137134,84.26163156920093,-0.24961849782958723,-0.10357295387361491,0.08333333333333333
Alto_8,Alto,Speech,90.42519152102125,84.26163156920093,6.163559951820318,2.557415079963193,0.08333333333333333
Alto_9,Alto,Speech,83.44842300202164,84.26163156920093,-0.8132085671792879,-0.3374205603768581,0.08333333333333333
Alto_10,Alto,Speech,83.53668165455247,84.26163156920093,-0.7249499146484624,-0.30079983944870303,0.08333333333333333
Alto_11,Alto,Speech,79.05756162160078,84.26163156920093,-5.204069947600146,-2.1592986951064326,0.08333333333333333
Alto_12,Alto,Speech,84.60289445328002,84.26163156920093,0.3412628840790859,0.14159850034683788,0.08333333333333333
Alto_1,Alto,Singing,89.55215024999673,93.95165913454291,-4.399508884546179,-1.8254662003324096,0.08333333333333333
Alto_2,Alto,Singing,94.86958144515253,93.95165913454291,0.9179223106096259,0.38086890980826965,0.08333333333333333
Alto_3,Alto,Singing,93.88578036749459,93.95165913454291,-0.06587876704831785,-0.02733474706431507,0.08333333333333333
Alto_4,Alto,Singing,96.8812470144277,93.95165913454291,2.9295878798847923,1.2155592353542473,0.08333333333333333
Alto_5,Alto,Singing,97.1198013636722,93.95165913454291,3.1681422291292876,1.3145413974355133,0.08333333333333333
Alto_6,Alto,Singing,95.5056332981876,93.95165913454291,1.5539741636446962,0.6447827215186618,0.08333333333333333
Alto_7,Alto,Singing,94.45712524918831,93.95165913454291,0.5054661146454009,0.2097305249091925,0.08333333333333333
Alto_8,Alto,Singing,90.85100127790272,93.95165913454291,-3.100657856640183,-1.286540444542288,0.08333333333333333
Alto_9,Alto,Singing,95.43394514950911,93.95165913454291,1.4822860149662063,0.6150375168125946,0.08333333333333333
Alto_10,Alto,Singing,94.67633916068134,93.95165913454291,0.7246800261384294,0.3006878559601246,0.08333333333333333
Alto_11,Alto,Singing,90.5140491386046,93.95165913454291,-3.4376099959383026,-1.4263503091339957,0.08333333333333333
Alto_12,Alto,Singing,93.67325589969722,93.95165913454291,-0.2784032348456833,-0.11551646072568955,0.08333333333333333
