praat_version	Praat 6.6.30 (June 30 2026)
csv_anova	real,Tukey HSD,G1,group,mean,15.9
csv_anova	real,Tukey HSD,G1,group,sd,1.0434983894999024
csv_anova	real,Tukey HSD,G1,group,median,15.9
csv_anova	real,Tukey HSD,G2,group,n,10
csv_anova	real,Tukey HSD,G2,group,mean,20.4
csv_anova	real,Tukey HSD,G2,group,sd,1.0434983894999024
csv_anova	real,Tukey HSD,G2,group,median,20.4
csv_anova	real,Tukey HSD,G1 vs G3,contrast,q,27.27411870290967
csv_anova	real,Tukey HSD,G1 vs G3,contrast,df,27
csv_anova	real,Tukey HSD,G1 vs G3,contrast,p_adjusted,7.771561172376096e-15
csv_anova	real,Tukey HSD,G1 vs G3,contrast,cohens_d,-8.624833627499182
csv_anova	real,Tukey HSD,G1 vs G3,contrast,effect_label,large effect
csv_anova	real,Tukey HSD,G3,group,n,10
csv_anova	real,Tukey HSD,G3,group,mean,24.9
csv_anova	real,Tukey HSD,G3,group,sd,1.0434983894999024
csv_anova	real,Tukey HSD,G3,group,median,24.9
csv_anova	real,Tukey HSD,G2 vs G3,contrast,q,13.637059351454837
csv_anova	real,Tukey HSD,G2 vs G3,contrast,df,27
csv_anova	real,Tukey HSD,G2 vs G3,contrast,p_adjusted,9.136669198994696e-10
csv_anova	real,Tukey HSD,G2 vs G3,contrast,cohens_d,-4.312416813749592
csv_anova	real,Tukey HSD,G2 vs G3,contrast,effect_label,large effect
csv_reg	real,OLS linear regression,,omnibus,response_column,y
csv_reg	real,OLS linear regression,,omnibus,predictor_column,x
csv_reg	real,OLS linear regression,,omnibus,F,63156.01554057312
csv_reg	real,OLS linear regression,,omnibus,df1,1
csv_reg	real,OLS linear regression,,omnibus,df2,28
csv_reg	real,OLS linear regression,,omnibus,p,1.683780151353408e-48
csv_reg	real,OLS linear regression,,omnibus,r,0.9997784004190116
csv_reg	real,OLS linear regression,,omnibus,r_squared,0.9995568499443974
csv_reg	real,OLS linear regression,,omnibus,adj_r_squared,0.9995410231566974
csv_reg	real,OLS linear regression,,omnibus,residual_se,0.3203922591852772
csv_reg	real,OLS linear regression,,omnibus,effect_label,large effect
csv_reg	real,OLS linear regression,,omnibus,n,30
csv_reg	real,OLS linear regression,(Intercept),coefficient,estimate,3.674827586206902
csv_reg	real,OLS linear regression,(Intercept),coefficient,se,0.11997818944029572
csv_reg	real,OLS linear regression,(Intercept),coefficient,t,30.629130205666193
csv_reg	real,OLS linear regression,(Intercept),coefficient,p,4.4675367565012745e-23
csv_reg	real,OLS linear regression,(Intercept),coefficient,ci_lower,3.4290634060977374
csv_reg	real,OLS linear regression,(Intercept),coefficient,ci_upper,3.920591766316067
csv_reg	real,OLS linear regression,x,coefficient,estimate,1.6983982202447159
csv_reg	real,OLS linear regression,x,coefficient,se,0.0067582175002090334
csv_reg	real,OLS linear regression,x,coefficient,t,251.30860618087297
csv_reg	real,OLS linear regression,x,coefficient,p,1.683780151353408e-48
csv_reg	real,OLS linear regression,x,coefficient,ci_lower,1.684554639251482
csv_reg	real,OLS linear regression,x,coefficient,ci_upper,1.7122418012379497
csv_corr	real,Pearson correlation,x ~ y,variable,x_column,x
csv_corr	real,Pearson correlation,x ~ y,variable,y_column,y
csv_corr	real,Pearson correlation,x ~ y,variable,r,0.9997784004190116
csv_corr	real,Pearson correlation,x ~ y,variable,t,251.30860618087596
csv_corr	real,Pearson correlation,x ~ y,variable,df,28
csv_corr	real,Pearson correlation,x ~ y,variable,p,1.6837801513528334e-48
csv_corr	real,Pearson correlation,x ~ y,variable,r_squared,0.9995568499443974
csv_corr	real,Pearson correlation,x ~ y,variable,effect_label,large effect
csv_corr	real,Pearson correlation,x ~ y,variable,n,30
leg	info_normality
leg	onebin
onebin_bin_width	0.336456
onebin_bins_in_range	1
onebin_peak_db	90.40
leg	twobin
twobin_bin_width	0.336456
twobin_bins_in_range	4
twobin_peak_db	90.40
leg	ltas_onebin
ltas_onebin_bin_width	100.000000
ltas_onebin_bins_in_range	1
ltas_onebin_peak_db	66.95
ltas_onebin_curve_bins	1
ltas_onebin_curve_stem	1
leg	ltas_twobin
ltas_twobin_bin_width	100.000000
ltas_twobin_bins_in_range	2
ltas_twobin_peak_db	66.95
ltas_twobin_curve_bins	2
ltas_twobin_curve_stem	0
leg	ltas_onebin_bars
ltas_onebin_bars_bin_width	100.000000
ltas_onebin_bars_bins_in_range	1
ltas_onebin_bars_peak_db	66.95
leg	--shell--
name_violin_gap_px	17
name_violin_first_ink_px	67
name_violin_name_run_px	37
name_box_gap_px	17
name_box_first_ink_px	67
name_box_name_run_px	37
name_bar_gap_px	17
name_bar_first_ink_px	67
name_bar_name_run_px	37
name_gviolin_gap_px	17
name_gviolin_first_ink_px	67
name_gviolin_name_run_px	37
name_gbox_gap_px	17
name_gbox_first_ink_px	67
name_gbox_name_run_px	37
name_spaghetti_gap_px	17
name_spaghetti_first_ink_px	67
name_spaghetti_name_run_px	37
name_hist_gap_px	20
name_hist_first_ink_px	99
name_hist_name_run_px	41
name_plain_gap_px	37
name_plain_first_ink_px	99
name_plain_name_run_px	37
replay_same_interior_ink	6794
replay_same_bytes	93043
replay_wide_interior_ink	6794
replay_wide_bytes	88532
axis_native_wide_interior_ink	6794
axis_native_wide_bytes	88532
onebin_interior_ink	1645
onebin_bytes	47609
twobin_interior_ink	2129
twobin_bytes	55032
ltas_onebin_interior_ink	1240
ltas_onebin_bytes	46360
ltas_twobin_interior_ink	1645
ltas_twobin_bytes	50368
ltas_onebin_bars_interior_ink	3839
ltas_onebin_bars_bytes	46129
ltas_onebin_interior_box	2x620+639+300
ltas_twobin_interior_box	648x328+316+299
ltas_onebin_bars_interior_box	1280x3+0+299
replay_wide_matches_native	yes
replay_same_matches_record	yes
posthoc_tukey_first_ink_px	99
posthoc_tukey_width_px	1800
posthoc_tukey_last_ink_px	1548
posthoc_dunn_first_ink_px	99
posthoc_dunn_width_px	1800
posthoc_dunn_last_ink_px	1548
