case,site,statistic,value
g03_severe,analysis,statistic,0.7465129854636128
g03_severe,analysis,p.value,7.834095677750921e-09
g03_severe,analysis,sw.usable,1
g03_severe,analysis,output.chars,1500
g03_severe,wizard,n.available,60
g03_severe,wizard,n,60
g03_severe,wizard,skewness,2.650264784721308
g03_severe,wizard,kurtosis,9.260760345517875
g03_severe,wizard,recommendation.code,2
g03_severe,wizard,output.chars,240
g04_reject30,analysis,n,30
g04_reject30,analysis,n.excluded,0
g04_reject30,analysis,mean,22.256666666666668
g04_reject30,analysis,sd,7.128364097929039
g04_reject30,analysis,median,20.5
g04_reject30,analysis,skewness,1.233840282599117
g04_reject30,analysis,kurtosis,1.6354857988948637
g04_reject30,analysis,statistic,0.8982120172156375
g04_reject30,analysis,p.value,0.007596207077228233
g04_reject30,analysis,sw.usable,1
g04_reject30,analysis,output.chars,1466
g04_reject30,wizard,n.available,30
g04_reject30,wizard,n,30
g04_reject30,wizard,skewness,1.233840282599117
g04_reject30,wizard,kurtosis,1.6354857988948637
g04_reject30,wizard,recommendation.code,2
g04_reject30,wizard,output.chars,156
g05_severe12,analysis,n,12
g05_severe12,analysis,n.excluded,0
g05_severe12,analysis,mean,26.3
g05_severe12,analysis,sd,27.472002276698163
g05_severe12,analysis,median,17.25
g05_severe12,analysis,skewness,2.3502678865146063
g05_severe12,analysis,kurtosis,5.955621750460832
g05_severe12,analysis,statistic,0.7091507373639414
g05_severe12,analysis,p.value,0.0010336980957460341
g05_severe12,analysis,sw.usable,1
g05_severe12,analysis,output.chars,1468
g05_severe12,wizard,n.available,12
g05_severe12,wizard,n,12
g05_severe12,wizard,skewness,2.3502678865146063
g05_severe12,wizard,kurtosis,5.955621750460832
g05_severe12,wizard,recommendation.code,2
g05_severe12,wizard,output.chars,235
g06_min3,analysis,n,3
g06_min3,analysis,n.excluded,0
g06_min3,analysis,mean,13.433333333333332
g06_min3,analysis,sd,3.655589327773749
g06_min3,analysis,median,12.7
g06_min3,analysis,skewness,0.8663989629882096
g06_min3,analysis,kurtosis,NA
g06_min3,analysis,statistic,0.9698179097031676
g06_min3,analysis,p.value,0.66650811181528
g06_min3,analysis,sw.usable,1
g06_min3,analysis,output.chars,1453
g06_min3,wizard,n.available,3
g06_min3,wizard,n,3
g06_min3,wizard,skewness,0.8663989629882096
g06_min3,wizard,kurtosis,NA
g06_min3,wizard,recommendation.code,1
g06_min3,wizard,output.chars,150
p01_groups,analysis,n,32
p01_groups,analysis,n.excluded,0
p01_groups,analysis,mean,35.90625
p01_groups,analysis,sd,17.835990029224078
p01_groups,analysis,median,33.8
p01_groups,analysis,skewness,0.3563062533939007
p01_groups,analysis,kurtosis,-0.8721170284626591
p01_groups,analysis,statistic,0.9378360063314534
p01_groups,analysis,p.value,0.06500931198506667
p01_groups,analysis,sw.usable,1
p01_groups,analysis,output.chars,1467
p01_groups,wizard,n.available,32
p01_groups,wizard,n,32
p01_groups,wizard,skewness,0.3563062533939007
p01_groups,wizard,kurtosis,-0.8721170284626591
p01_groups,wizard,recommendation.code,1
p01_groups,wizard,output.chars,144
r01_blank,analysis,refused,1
r01_blank,analysis,output.chars,0
r01_blank,wizard,n.available,0
r01_blank,wizard,refused,1
r02_single,analysis,refused,1
r02_single,analysis,output.chars,0
r02_single,wizard,n.available,1
r02_single,wizard,n,1
r02_single,wizard,skewness,NA
r02_single,wizard,kurtosis,NA
r02_single,wizard,recommendation.code,1
r02_single,wizard,output.chars,188
r03_identical,analysis,n,10
r03_identical,analysis,n.excluded,0
r03_identical,analysis,mean,7.5
r03_identical,analysis,sd,0
r03_identical,analysis,median,7.5
r03_identical,analysis,skewness,NA
r03_identical,analysis,kurtosis,NA
r03_identical,analysis,statistic,NA
r03_identical,analysis,p.value,NA
r03_identical,analysis,sw.usable,0
r03_identical,analysis.shapiro,refused,1
r03_identical,analysis,output.chars,1331
r03_identical,wizard,n.available,10
r03_identical,wizard,n,10
r03_identical,wizard,skewness,NA
r03_identical,wizard,kurtosis,NA
r03_identical,wizard,recommendation.code,1
r03_identical,wizard,output.chars,187
r04_n2,analysis,refused,1
r04_n2,analysis,output.chars,0
r04_n2,wizard,n.available,2
r04_n2,wizard,n,2
r04_n2,wizard,skewness,NA
r04_n2,wizard,kurtosis,NA
r04_n2,wizard,recommendation.code,1
r04_n2,wizard,output.chars,188
r05_swceil,analysis,n,5001
r05_swceil,analysis,n.excluded,0
r05_swceil,analysis,mean,49.997057784164156
r05_swceil,analysis,sd,9.194164738694543
r05_swceil,analysis,median,50.15693104416212
r05_swceil,analysis,skewness,0.00023183948139370847
r05_swceil,analysis,kurtosis,-1.1216977278125586
r05_swceil,analysis,statistic,NA
r05_swceil,analysis,p.value,NA
r05_swceil,analysis,sw.usable,0
r05_swceil,analysis.shapiro,refused,1
r05_swceil,analysis,output.chars,1330
r05_swceil,wizard,n.available,5001
r05_swceil,wizard,n,5001
r05_swceil,wizard,skewness,0.00023183948139370847
r05_swceil,wizard,kurtosis,-1.1216977278125586
r05_swceil,wizard,recommendation.code,1
r05_swceil,wizard,output.chars,183
r06_text,analysis,refused,1
r06_text,analysis,output.chars,0
r06_text,wizard,n.available,0
r06_text,wizard,refused,1
r07_swceil_sev,analysis,n,5001
r07_swceil_sev,analysis,n.excluded,0
r07_swceil_sev,analysis,mean,11.65236381431416
r07_swceil_sev,analysis,sd,20.312972269284334
r07_swceil_sev,analysis,median,10.034740776416541
r07_swceil_sev,analysis,skewness,12.10517287506761
r07_swceil_sev,analysis,kurtosis,145.34190421112862
r07_swceil_sev,analysis,statistic,NA
r07_swceil_sev,analysis,p.value,NA
r07_swceil_sev,analysis,sw.usable,0
r07_swceil_sev,analysis.shapiro,refused,1
r07_swceil_sev,analysis,output.chars,1354
r07_swceil_sev,wizard,n.available,5001
r07_swceil_sev,wizard,n,5001
r07_swceil_sev,wizard,skewness,12.10517287506761
r07_swceil_sev,wizard,kurtosis,145.34190421112862
r07_swceil_sev,wizard,recommendation.code,2
r07_swceil_sev,wizard,output.chars,257
