leg	key	value
w_within_k	listening	1
w_within_k	entry	eml-wizard.praat
w_within_k	steps	4
w_within_k	trail	Pause: EML Stats Wizard > Pause: Compare — Observation type > Pause: Paired / repeated — how many conditions? > Pause: No table selected > Pause: Repeated measures — select condition columns
w_within_k	final	Pause: Repeated measures — select condition columns
w_within_k	state	example
w_within_k	objects	Table demo_pre_post
w_within_k	info	<none>
w_within_k	returned	1
w_rel_correlation	display	:145
w_rel_correlation	listening	1
w_rel_correlation	entry	eml-wizard.praat
w_rel_correlation	steps	3
w_rel_correlation	trail	Pause: EML Stats Wizard > Pause: Relationship — What type? > Pause: No table selected > Pause: Correlation — Select columns
w_rel_correlation	final	Pause: Correlation — Select columns
w_rel_correlation	state	example
w_rel_correlation	objects	n/a
w_rel_correlation	info	<none>
w_rel_correlation	returned	1
w_rel_regression	display	:145
w_rel_regression	listening	1
w_rel_regression	entry	eml-wizard.praat
w_rel_regression	steps	3
w_rel_regression	trail	Pause: EML Stats Wizard > Pause: Relationship — What type? > Pause: No table selected > Pause: Regression — Select columns
w_rel_regression	final	Pause: Regression — Select columns
w_rel_regression	state	example
w_rel_regression	objects	Table demo_practice_effect
w_rel_regression	info	<none>
w_rel_regression	returned	1
w_rel_categorical	display	:145
w_rel_categorical	listening	1
w_rel_categorical	entry	eml-wizard.praat
w_rel_categorical	steps	2
w_rel_categorical	trail	Pause: EML Stats Wizard > Pause: Relationship — What type? > Pause: Analysis complete
w_rel_categorical	final	Pause: Analysis complete
w_rel_categorical	state	page
w_rel_categorical	objects	(objects window empty)
w_rel_categorical	info	── Not Yet Available ── Categorical association (chi-squared) is planned for a future update. In the meantime, you can use the named tools in the EML Stats & Graphs menu for available analyses.
w_rel_categorical	returned	1
w_rel_cont_cat	display	:145
w_rel_cont_cat	listening	1
w_rel_cont_cat	entry	eml-wizard.praat
w_rel_cont_cat	steps	5
w_rel_cont_cat	trail	Pause: EML Stats Wizard > Pause: Relationship — What type? > Pause: Compare — Observation type > Pause: Compare independent — Design > Pause: No table selected > Pause: Two groups — Select columns
w_rel_cont_cat	final	Pause: Two groups — Select columns
w_rel_cont_cat	state	example
w_rel_cont_cat	objects	n/a
w_rel_cont_cat	info	<none>
w_rel_cont_cat	returned	1
w_desc_single	display	:145
w_desc_single	listening	1
w_desc_single	entry	eml-wizard.praat
w_desc_single	steps	3
w_desc_single	trail	Pause: EML Stats Wizard > Pause: Describe — What to summarize > Pause: No table selected > Pause: Describe — Select column
w_desc_single	final	Pause: Describe — Select column
w_desc_single	state	example
w_desc_single	objects	n/a
w_desc_single	info	<none>
w_desc_single	returned	1
w_desc_bygroup	display	:145
w_desc_bygroup	listening	1
w_desc_bygroup	entry	eml-wizard.praat
w_desc_bygroup	steps	3
w_desc_bygroup	trail	Pause: EML Stats Wizard > Pause: Describe — What to summarize > Pause: No table selected > Pause: Describe by group — Select columns
w_desc_bygroup	final	Pause: Describe by group — Select columns
w_desc_bygroup	state	example
w_desc_bygroup	objects	n/a
w_desc_bygroup	info	<none>
w_desc_bygroup	returned	1
w_desc_normality	display	:145
w_desc_normality	listening	1
w_desc_normality	entry	eml-wizard.praat
w_desc_normality	steps	3
w_desc_normality	trail	Pause: EML Stats Wizard > Pause: Describe — What to summarize > Pause: No table selected > Pause: Normality check — Select column
w_desc_normality	final	Pause: Normality check — Select column
w_desc_normality	state	example
w_desc_normality	objects	n/a
w_desc_normality	info	<none>
w_desc_normality	returned	1
w_predict	display	:145
w_predict	listening	1
w_predict	entry	eml-wizard.praat
w_predict	steps	2
w_predict	trail	Pause: EML Stats Wizard > Pause: No table selected > Pause: Predict — Select columns
w_predict	final	Pause: Predict — Select columns
w_predict	state	example
w_predict	objects	Table demo_practice_effect
w_predict	info	<none>
w_predict	returned	1
w_goal_classify	display	:145
w_goal_classify	listening	1
w_goal_classify	entry	eml-wizard.praat
w_goal_classify	steps	1
w_goal_classify	trail	Pause: EML Stats Wizard > Pause: Analysis complete
w_goal_classify	final	Pause: Analysis complete
w_goal_classify	state	page
w_goal_classify	objects	(objects window empty)
w_goal_classify	info	── Not Yet Available ── Classification (discriminant analysis) is planned for a future update. In the meantime, you can use the named tools in the EML Stats & Graphs menu for available analyses.
w_goal_classify	returned	1
w_goal_reduce	display	:145
w_goal_reduce	listening	1
w_goal_reduce	entry	eml-wizard.praat
w_goal_reduce	steps	1
w_goal_reduce	trail	Pause: EML Stats Wizard > Pause: Analysis complete
w_goal_reduce	final	Pause: Analysis complete
w_goal_reduce	state	page
w_goal_reduce	objects	(objects window empty)
w_goal_reduce	info	── Not Yet Available ── Dimensionality reduction (PCA, MDS) is planned for a future update. In the meantime, you can use the named tools in the EML Stats & Graphs menu for available analyses.
w_goal_reduce	returned	1
w_indep_twofactor	display	:172
w_indep_twofactor	listening	1
w_indep_twofactor	entry	eml-wizard.praat
w_indep_twofactor	steps	4
w_indep_twofactor	trail	Pause: EML Stats Wizard > Pause: Compare — Observation type > Pause: Compare independent — Design > Pause: No table selected > Pause: Two-Factor Design
w_indep_twofactor	final	Pause: Two-Factor Design
w_indep_twofactor	state	example
w_indep_twofactor	objects	n/a
w_indep_twofactor	info	<none>
w_indep_twofactor	returned	1
e_compare_groups	display	:173
e_compare_groups	listening	1
e_compare_groups	entry	eml-compare-groups.praat
e_compare_groups	steps	0
e_compare_groups	trail	Pause: Cannot start this tool
e_compare_groups	final	Pause: Cannot start this tool
e_compare_groups	state	refused
e_compare_groups	objects	(objects window empty)
e_compare_groups	info	<none>
e_compare_groups	returned	1
